"node","clade","node.type","branch.length","label","astral","gcf","scf"
78,"Pseudomys_novaehollandiae_ABTC08140","tip",0.00396835,"Pseudomys_novaehollandiae_ABTC08140",NA,NA,NA
79,"Pseudomys_delicatulus_U1509","tip",0.00516128,"Pseudomys_delicatulus_U1509",NA,NA,NA
80,"Pseudomys_hermannsburgensis_ABTC08067","tip",0.0063221,"Pseudomys_hermannsburgensis_ABTC08067",NA,NA,NA
81,"Mastacomys_fuscus_M13957","tip",0.00819405,"Mastacomys_fuscus_M13957",NA,NA,NA
82,"Pseudomys_australis_M25541","tip",0.00842429,"Pseudomys_australis_M25541",NA,NA,NA
83,"Pseudomys_fumeus_ABTC08168","tip",0.00902826,"Pseudomys_fumeus_ABTC08168",NA,NA,NA
84,"Pseudomys_apodemoides_M16672","tip",0.00437813,"Pseudomys_apodemoides_M16672",NA,NA,NA
85,"Pseudomys_albocinereus_WAMM18855","tip",0.00526016,"Pseudomys_albocinereus_WAMM18855",NA,NA,NA
86,"Pseudomys_occidentalis_ABTC08043","tip",0.0112903,"Pseudomys_occidentalis_ABTC08043",NA,NA,NA
87,"Pseudomys_patrius_JM10865","tip",0.00663134,"Pseudomys_patrius_JM10865",NA,NA,NA
88,"Pseudomys_johnsoni_ABTC08053","tip",0.00399728,"Pseudomys_johnsoni_ABTC08053",NA,NA,NA
89,"Pseudomys_chapmani_WAMM29440","tip",0.00801623,"Pseudomys_chapmani_WAMM29440",NA,NA,NA
90,"Pseudomys_calabyi_U4324","tip",0.00788387,"Pseudomys_calabyi_U4324",NA,NA,NA
91,"Notomys_mitchellii_M21518","tip",0.00834051,"Notomys_mitchellii_M21518",NA,NA,NA
92,"Notomys_alexis_U1308","tip",0.00336855,"Notomys_alexis_U1308",NA,NA,NA
93,"Notomys_fuscus_M22830","tip",0.00480515,"Notomys_fuscus_M22830",NA,NA,NA
94,"Notomys_aquilo_M-32455","tip",0.00495849,"Notomys_aquilo_M-32455",NA,NA,NA
95,"Notomys_cervinus_M22857","tip",0.00973772,"Notomys_cervinus_M22857",NA,NA,NA
96,"Leggadina_lakedownensis_WAMM21623","tip",0.00386248,"Leggadina_lakedownensis_WAMM21623",NA,NA,NA
97,"Leggadina_forresti_WAMM62323","tip",0.00453021,"Leggadina_forresti_WAMM62323",NA,NA,NA
98,"Uromys_sp-nov_YS380","tip",0.00413714,"Uromys_sp-nov_YS380",NA,NA,NA
99,"Uromys_caudimaculatus_DT10Uc01","tip",0.00355024,"Uromys_caudimaculatus_DT10Uc01",NA,NA,NA
100,"Solomys_salebrosus_ABTC64864","tip",0.00921667,"Solomys_salebrosus_ABTC64864",NA,NA,NA
101,"Melomys_rufescens_ABTC44798","tip",0.00813018,"Melomys_rufescens_ABTC44798",NA,NA,NA
102,"Mesembriomys_macrurus_ABTC7337","tip",0.00768363,"Mesembriomys_macrurus_ABTC7337",NA,NA,NA
103,"Mesembriomys_gouldii_ABTC7449","tip",0.00572483,"Mesembriomys_gouldii_ABTC7449",NA,NA,NA
104,"Conilurus_penicillatus_M14056","tip",0.00975111,"Conilurus_penicillatus_M14056",NA,NA,NA
105,"Conilurus_albipes_NMV-c7585","tip",0.00932833,"Conilurus_albipes_NMV-c7585",NA,NA,NA
106,"Leporillus_conditor_ABTC13335","tip",0.0114142,"Leporillus_conditor_ABTC13335",NA,NA,NA
107,"Leporillus_apicalis_C90","tip",0.0122115,"Leporillus_apicalis_C90",NA,NA,NA
108,"Paraleptomys_wilhelmina_H126-ABTC133716","tip",0.0100993,"Paraleptomys_wilhelmina_H126-ABTC133716",NA,NA,NA
109,"Mirzamys_louiseae_ABTC133754","tip",0.00832959,"Mirzamys_louiseae_ABTC133754",NA,NA,NA
110,"Leptomys_elegans_ABTC45741","tip",0.012346,"Leptomys_elegans_ABTC45741",NA,NA,NA
111,"Xeromys_myoides_ABTC30709","tip",0.0130651,"Xeromys_myoides_ABTC30709",NA,NA,NA
112,"Pseudohydromys_pumehanae_ABTC43920","tip",0.00730162,"Pseudohydromys_pumehanae_ABTC43920",NA,NA,NA
113,"Microhydromys_richardsoni_ANWCM35851","tip",0.00922276,"Microhydromys_richardsoni_ANWCM35851",NA,NA,NA
114,"Parahydromys_asper_ABTC45798","tip",0.00450704,"Parahydromys_asper_ABTC45798",NA,NA,NA
115,"Hydromys_sp-nov_YS391","tip",0.00242458,"Hydromys_sp-nov_YS391",NA,NA,NA
116,"Hydromys_chrysogaster_Z5248","tip",0.00609369,"Hydromys_chrysogaster_Z5248",NA,NA,NA
117,"Crossomys_moncktoni_ABTC46614","tip",0.00535745,"Crossomys_moncktoni_ABTC46614",NA,NA,NA
118,"Mallomys_rothschildi_ABTC47402","tip",0.0171854,"Mallomys_rothschildi_ABTC47402",NA,NA,NA
119,"Pogonomelomys_mayeri_AMM21849","tip",0.0152572,"Pogonomelomys_mayeri_AMM21849",NA,NA,NA
120,"Abeomelomys_sevia_KUM161018","tip",0.0143575,"Abeomelomys_sevia_KUM161018",NA,NA,NA
121,"Xenuromys_barbatus_ABTC129204","tip",0.016145,"Xenuromys_barbatus_ABTC129204",NA,NA,NA
122,"Mammelomys_lanosus_ABTC47208","tip",0.0201994,"Mammelomys_lanosus_ABTC47208",NA,NA,NA
123,"Coccymys_ruemmleri_ABTC49489","tip",0.0243119,"Coccymys_ruemmleri_ABTC49489",NA,NA,NA
124,"Hyomys_goliath_ABTC42697","tip",0.0194244,"Hyomys_goliath_ABTC42697",NA,NA,NA
125,"Pogonomys_macrourus_ABTC43144","tip",0.0239554,"Pogonomys_macrourus_ABTC43144",NA,NA,NA
126,"Chiruromys_vates_ABTC43096","tip",0.0275416,"Chiruromys_vates_ABTC43096",NA,NA,NA
127,"Macruromys_major_ABTC43909","tip",0.0216422,"Macruromys_major_ABTC43909",NA,NA,NA
128,"Lorentzimys_nouhuysi_ABTC-46314","tip",0.0330373,"Lorentzimys_nouhuysi_ABTC-46314",NA,NA,NA
129,"Anisomys_imitator_ABTC45107","tip",0.0180685,"Anisomys_imitator_ABTC45107",NA,NA,NA
130,"Chrotomys_whiteheadi_KU168311","tip",0.00425834,"Chrotomys_whiteheadi_KU168311",NA,NA,NA
131,"Chrotomys_mindorensis_JAE520","tip",0.00323997,"Chrotomys_mindorensis_JAE520",NA,NA,NA
132,"Rhynchomys_isarogensis_JAE2195","tip",0.0154551,"Rhynchomys_isarogensis_JAE2195",NA,NA,NA
133,"Archboldomys_luzonensis_EAR1826","tip",0.0165904,"Archboldomys_luzonensis_EAR1826",NA,NA,NA
134,"Apomys_lubangensis_JAE169","tip",0.0270335,"Apomys_lubangensis_JAE169",NA,NA,NA
135,"Haeromys_minahassae_JAE4996","tip",0.0342833,"Haeromys_minahassae_JAE4996",NA,NA,NA
136,"Chiropodomys_gliroides_Z25153","tip",0.041576,"Chiropodomys_gliroides_Z25153",NA,NA,NA
137,"Otomys_tropicalis_LSUMZ37841","tip",0.0146029,"Otomys_tropicalis_LSUMZ37841",NA,NA,NA
138,"Otomys_denti_LSUMZ37840","tip",0.0123693,"Otomys_denti_LSUMZ37840",NA,NA,NA
139,"Lemniscomys_striatus_TCD4711","tip",0.0161749,"Lemniscomys_striatus_TCD4711",NA,NA,NA
140,"Arvicanthus_niloticus_MNHN1999201","tip",0.00577466,"Arvicanthus_niloticus_MNHN1999201",NA,NA,NA
141,"Arvicanthus_neumanni_FMNH158037","tip",0.00848667,"Arvicanthus_neumanni_FMNH158037",NA,NA,NA
142,"Pelomys_minor_FMNH219213","tip",0.00994324,"Pelomys_minor_FMNH219213",NA,NA,NA
143,"Pelomys_isseli_FMNH137886","tip",0.00993619,"Pelomys_isseli_FMNH137886",NA,NA,NA
144,"Mylomys_dybowskii_MNHN1997072","tip",0.0159222,"Mylomys_dybowskii_MNHN1997072",NA,NA,NA
145,"Rhabdomys_pumilio_MNHN1995065","tip",0.0246268,"Rhabdomys_pumilio_MNHN1995065",NA,NA,NA
146,"Dasymys_montanus_FMNH144389","tip",0.00168704,"Dasymys_montanus_FMNH144389",NA,NA,NA
147,"Dasymys_incomtus_LSUMZ37702","tip",0.00378215,"Dasymys_incomtus_LSUMZ37702",NA,NA,NA
148,"Aethomys_hindei_MVZ196257","tip",0.0195623,"Aethomys_hindei_MVZ196257",NA,NA,NA
149,"Aethomys_nyikae_FMNH196708","tip",0.0207929,"Aethomys_nyikae_FMNH196708",NA,NA,NA
150,"Thamnomys_venustus_LSUMZ37935","tip",0.0188672,"Thamnomys_venustus_LSUMZ37935",NA,NA,NA
151,"Thamnomys_kempi_TCD4437","tip",0.0172007,"Thamnomys_kempi_TCD4437",NA,NA,NA
152,"Grammomys_dryas_LSUMZ37716","tip",0.0274528,"Grammomys_dryas_LSUMZ37716",NA,NA,NA
153,"Thallomys_paedulcus_FMNH158089","tip",0.0285227,"Thallomys_paedulcus_FMNH158089",NA,NA,NA
154,"Micaelemys_namaquensis_MNHN1987009","tip",0.0243129,"Micaelemys_namaquensis_MNHN1987009",NA,NA,NA
155,"Stochomys_longicaudatus_MNHN1999459","tip",0.0186021,"Stochomys_longicaudatus_MNHN1999459",NA,NA,NA
156,"Dephomys_defua_MNHNR24062","tip",0.015413,"Dephomys_defua_MNHNR24062",NA,NA,NA
157,"Hybomys_univittatus_TCD4026","tip",0.00385843,"Hybomys_univittatus_TCD4026",NA,NA,NA
158,"Hybomys_lunaris_LSUMZ37734","tip",0.00342123,"Hybomys_lunaris_LSUMZ37734",NA,NA,NA
159,"Hybomys_planifrons_R24117","tip",0.0315323,"Hybomys_planifrons_R24117",NA,NA,NA
160,"Oenomys_hypoxanthus_LSUMZ37838","tip",0.0285956,"Oenomys_hypoxanthus_LSUMZ37838",NA,NA,NA
161,"Pithecheir_melanurus_LSUMZ38198","tip",0.0361715,"Pithecheir_melanurus_LSUMZ38198",NA,NA,NA
162,"Vandeleuria_oleracea_ABTC116404","tip",0.0608975,"Vandeleuria_oleracea_ABTC116404",NA,NA,NA
163,"Malacomys_longipes_TCD4253","tip",0.0457405,"Malacomys_longipes_TCD4253",NA,NA,NA
164,"Apodemus_sylvaticus_SMG3823","tip",0.0633053,"Apodemus_sylvaticus_SMG3823",NA,NA,NA
165,"Myomyscus_verreauxii_MNHN1999102","tip",0.0170719,"Myomyscus_verreauxii_MNHN1999102",NA,NA,NA
166,"Zelotomys_woosnami_TTU-M115260","tip",0.0142067,"Zelotomys_woosnami_TTU-M115260",NA,NA,NA
167,"Colomys_goslingi_TCD4175","tip",0.0104422,"Colomys_goslingi_TCD4175",NA,NA,NA
168,"Mastomys_natalensis_T4162","tip",0.0208207,"Mastomys_natalensis_T4162",NA,NA,NA
169,"Praomys_jacksoni_REC31","tip",0.0104612,"Praomys_jacksoni_REC31",NA,NA,NA
170,"Praomys_degraaffi_TCD4312","tip",0.0116397,"Praomys_degraaffi_TCD4312",NA,NA,NA
171,"Hylomyscus_stella_LSUMZ37742","tip",0.0125052,"Hylomyscus_stella_LSUMZ37742",NA,NA,NA
172,"Hylomyscus_vulcanorum_TCD4382","tip",0.013106,"Hylomyscus_vulcanorum_TCD4382",NA,NA,NA
173,"Heimyscus_fumosus_FMNH167810","tip",0.0186277,"Heimyscus_fumosus_FMNH167810",NA,NA,NA
174,"Mus_pahari_10460X1","tip",0.0333231,"Mus_pahari_10460X1",NA,NA,NA
175,"Mus_minutoides_10460X2","tip",0.00940515,"Mus_minutoides_10460X2",NA,NA,NA
176,"Mus_musculoides_LSUMZ37820","tip",0.00971,"Mus_musculoides_LSUMZ37820",NA,NA,NA
177,"Mus_platythrix_10460X13","tip",0.0254957,"Mus_platythrix_10460X13",NA,NA,NA
178,"Mus_cookii_10460X3","tip",0.00810045,"Mus_cookii_10460X3",NA,NA,NA
179,"Mus_cervicolor_10460X10","tip",0.00872099,"Mus_cervicolor_10460X10",NA,NA,NA
180,"Mus_caroli_10460X9","tip",0.0147773,"Mus_caroli_10460X9",NA,NA,NA
181,"Mus_spretus_10460X4","tip",0.00743511,"Mus_spretus_10460X4",NA,NA,NA
182,"Mus_spicilegus_10460X11","tip",0.00584152,"Mus_spicilegus_10460X11",NA,NA,NA
183,"Mus_macedonicus_10460X12","tip",0.00323378,"Mus_macedonicus_10460X12",NA,NA,NA
184,"Mus_musculus-reference_10460X5","tip",0.00218633,"Mus_musculus-reference_10460X5",NA,NA,NA
185,"Mus_musculus-musculus_10460X14","tip",0.00195833,"Mus_musculus-musculus_10460X14",NA,NA,NA
186,"Mus_musculus-castaneus_10460X7","tip",0.00236629,"Mus_musculus-castaneus_10460X7",NA,NA,NA
187,"mm10","tip",0.00157136,"mm10",NA,NA,NA
188,"Mus_musculus-domesticus_10460X15","tip",0.00299436,"Mus_musculus-domesticus_10460X15",NA,NA,NA
