# sources: Supplemental_Appendix_II.csv; murine_repro_pheno_data.csv; Murinae Locomotory Checklist - Murinae Locomotory Checklist.csv
species,sample,Locomotor_State,Adult_Mass(g),Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,RTM (%),Head length (um),Head width (um),Head area (um�),Apical hook length (um),Apical hook angle (�),Ventral process length (um),Ventral process angle (�),Midpiece length (um),Principal and end piece length (um),Tail length (um),# hooks/ventral processes,Geographic Region
Coccymys_ruemmleri,Coccymys_ruemmleri_ABTC49489,General,31.55,268,109,159,24.8,0.593283582,1.458715596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Mammelomys_lanosus,Mammelomys_lanosus_ABTC47208,Terrestrial,116.8,286,162.3,123.7,36.6,0.432517483,0.762168823,2.4,7.9,1.8,NA,10,307,0,NA,26,109,NA,NA,New Guinea
Xenuromys_barbatus,Xenuromys_barbatus_ABTC129204,Terrestrial,987.65,578,316,262,62.9,0.453287197,0.829113924,1.4,6.3,2.2,NA,11.1,305,0,NA,32,117,NA,NA,New Guinea
Mallomys_rothschildi,Mallomys_rothschildi_ABTC47402,Arboreal,1157.9,759.7,380,379.7,65.1,0.499802554,0.999210526,1.4,6.9,1.6,NA,8.3,314,5.5,335,34,117,NA,NA,New Guinea
Abeomelomys_sevia,Abeomelomys_sevia_KUM161018,Arboreal,55.69,300.5,127.5,173,24.8,0.575707155,1.356862745,1.7,9.2,3.9,NA,14.4,315,0,NA,39,126,NA,NA,New Guinea
Pogonomelomys_mayeri,Pogonomelomys_mayeri_AMM21849,Arboreal,110.835,336,147,189,29.3,0.5625,1.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Crossomys_moncktoni,Crossomys_moncktoni_ABTC46614,Amphibious,166.71,404,188,216,51.2,0.534653465,1.14893617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Parahydromys_asper,Parahydromys_asper_ABTC45798,Amphibious,533.33,479.3,225,254.3,53.1,0.530565408,1.130222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Hydromys_sp-nov,Hydromys_sp-nov_YS391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydromys_chrysogaster,Hydromys_chrysogaster_Z5248,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2.3,NA,5.6,322,4.1,320,20,92,NA,NA,New Guinea and surrounding islands;Australia 
Xeromys_myoides,Xeromys_myoides_ABTC30709,Terrestrial,45.45,217.3,117.3,100,25,0.460193281,0.852514919,1.2,5.6,2.6,NA,6.4,299,4.6,296,23,79,NA,NA,Australia
Microhydromys_richardsoni,Microhydromys_richardsoni_ANWCM35851,Terrestrial,9.625,169.3,83,86.3,19.7,0.509746013,1.039759036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Pseudohydromys_pumehanae,Pseudohydromys_pumehanae_ABTC43920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Paraleptomys_wilhelmina,Paraleptomys_wilhelmina_H126-ABTC133716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Mirzamys_louiseae,Mirzamys_louiseae_ABTC133754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Leptomys_elegans,Leptomys_elegans_ABTC45741,Terrestrial,85.46,299.4,151.8,147.6,38.5,0.492985972,0.972332016,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea 
Solomys_salebrosus,Solomys_salebrosus_ABTC64864,Arboreal,397,520.5,276.5,244,48.6,0.468780019,0.882459313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bougainville;Buka (fossil);Choiseul
Melomys_rufescens,Melomys_rufescens_ABTC44798,Arboreal,64,273.3,136.3,137,27.2,0.501280644,1.00513573,2.5,5.7,2.3,NA,6.6,327,5,326,24,88,NA,NA,New Guinea and surrounding islands ;New Britain;New Ireland 
Uromys_sp-nov,Uromys_sp-nov_YS380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uromys_caudimaculatus,Uromys_caudimaculatus_DT10Uc01,General,633.36,571.7,267.7,304,54.8,0.53174742,1.135599552,1.1,7,3,NA,8.1,322,6.7,322,21,71,NA,NA,New Guinea;Australia;Aru Islands;Fergusson;Japen;Kai Islands;Normanby;Sideia?;Waigeo
Leporillus_conditor,Leporillus_conditor_ABTC13335,General,339.41,375,197,178,44,0.474666667,0.903553299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Leporillus_apicalis,Leporillus_apicalis_C90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Conilurus_albipes,Conilurus_albipes_NMV-c7585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia;Queensland;New South Wales;Victoria
Conilurus_penicillatus,Conilurus_penicillatus_M14056,Arboreal,190.54,371.5,188.5,183,48,0.492597577,0.970822281,2.4,4.8,2.6,NA,6,329,4.3,324,22,103,NA,NA,New Guinea;Australia
Mesembriomys_macrurus,Mesembriomys_macrurus_ABTC7337,Arboreal,300,577,250,327,50,0.566724437,1.308,2.4,5.7,2.8,NA,6.5,332,4.9,325,21,92,NA,NA,Australia
Mesembriomys_gouldii,Mesembriomys_gouldii_ABTC7449,Arboreal,800,675,300,375,67,0.555555556,1.25,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia;Cape York Peninsula of northern Queensland;Melville;and Bathurst islands
Zyzomys_pedunculatus,Zyzomys_pedunculatus_Z34925,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,15,NA,82-85,NA,Australia
Zyzomys_woodwardi,Zyzomys_woodwardi_WAMM21724,Terrestrial,135,265,150,117,30,0.441509434,0.78,1.7,5,2.6,NA,5.9,318,4.1,317,21,110,60.1+-1.9,NA,Australia
Zyzomys_maini,Zyzomys_maini_ABTC07900,Terrestrial,93.995,296,150,146,NA,0.493243243,0.973333333,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.1+-2.3,NA,Australia
Zyzomys_palatalis,Zyzomys_palatalis_ABTC30744,Terrestrial,115,257,126,131,NA,0.509727626,1.03968254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Zyzomys_argurus,Zyzomys_argurus_ABTC61630,Terrestrial,60,245,120,125,25,0.510204082,1.041666667,0.9,5.5,2.4,NA,6.1,311,4.4,312,24,119,132-137,NA,Australia;Queensland
Leggadina_lakedownensis,Leggadina_lakedownensis_WAMM21623,Terrestrial,18.75,113,70,43,15,0.380530973,0.614285714,1.8,4.7,2.4,NA,5.5,312,3.8,304,24,97,NA,NA,Australia;Queensland
Leggadina_forresti,Leggadina_forresti_WAMM62323,Terrestrial,21.94,176,104,72,19,0.409090909,0.692307692,1.8,5.7,2.6,NA,5.1,300,2.5,250,24,96,NA,NA,Australia;Queensland;New South Wales
Pseudomys_calabyi,Pseudomys_calabyi_U4324,Terrestrial,16.7,162.8,84.4,78.4,18,0.481572482,0.928909953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Pseudomys_chapmani,Pseudomys_chapmani_WAMM29440,Terrestrial,11.475,122.8,59.2,63.6,15,0.517915309,1.074324324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Pseudomys_johnsoni,Pseudomys_johnsoni_ABTC08053,Terrestrial,16,171,76,95,17.4,0.555555556,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Pseudomys_patrius,Pseudomys_patrius_JM10865,Terrestrial,14,135,63,72,NA,0.533333333,1.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
