Species,Locomotor_State,"Adult_Mass(g)",Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,Source (Author; Title; Year),,,,,,,,,,,
Rattus_pyctoris,Terrestrial,149.96,NA,NA,NA,NA,,,"Smith and Xie 2013, Molur et al 2005, Wilman et al 2014",,,,,,,,,,,
Rattus_rattus,General,146.6933333,377.4,180.8,196.6,36.1,0.520932697,1.087389381,"Kingdon et al 2013, Strahan 1983,  Lekagul and McNeely 1979, / Nowak 1991, IUCN 2017",,,,,,,,,,,
Rattus_satarae,Arboreal,130,389,151,238,32.5,0.611825193,1.57615894,IUCN 2017 ,,,,,,,,,,,
Rattus_sordidus,Terrestrial,164.9,297,169,128,30.6,0.430976431,0.75739645,"Flannery 1995a, 1995b, Strahan 1983",,,,,,,,,,,
Rattus_steini,General,153.085,318,174,144,35.4,0.452830189,0.827586207,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Rattus_tanezumi,General,152.28,397.5,202.5,195,38,0.490566038,0.962962963,"Heany et al 2016, Smith and Xie 2013",,,,,,,,,,,
Rattus_timorensis,Terrestrial,160.32,NA,NA,NA,NA,,,"Kitchner et al 1991, Wilman et al 2014",,,,,,,,,,,
Rattus_tiomanicus,General,121.23,334.4,161.3,173.1,31.5,0.517643541,1.073155611,"Nowak 1991, Francis & Barrett 2008, IUCN 2017",,,,,,,,,,,
Rattus_tunneyi,Terrestrial,169.29,270,146,124,29.5,0.459259259,0.849315068,"Strahan 1983, Rowe et al 2011, Van Dyck and R. Strahan 2008",,,,,,,,,,,
Rattus_verecundus,Terrestrial,90.51,318.4,157.7,160.7,32.8,0.504711055,1.019023462,Flannery 1995a,,,,,,,,,,,
Rattus_villosissimus,Terrestrial,207.03,303.5,158,145.5,32,0.479406919,0.920886076,"Strahan 1983, IUCN 2017",,,,,,,,,,,
Rattus_xanthurus,Terrestrial,303,559,247.3,311.7,46.7,0.557602862,1.260412455,"Nowak 1991, Musser & Newcomb 1983, Musser 1991",,,,,,,,,,,
Rhabdomys_pumilio,General,39.97666667,231,115.8,115.2,24,0.498701299,0.994818653,Kingdon et al 2013,,,,,,,,,,,
Rhynchomys_banahao,Terrestrial,145,312.5,184.5,128,39.5,0.4096,0.693766938,Heany et al 2016,,,,,,,,,,,
Rhynchomys_isarogensis,Terrestrial,122.395,287.5,187,105,37,0.365217391,0.561497326,Heany et al 2016,,,,,,,,,,,
Rhynchomys_soricoides,Terrestrial,179,330.5,183.5,147,40.5,0.444780635,0.801089918,Heany et al 2016,,,,,,,,,,,
Rhynchomys_tapulao,Terrestrial,142.5,299,175,124,39,0.414715719,0.708571429,Heany et al 2016,,,,,,,,,,,
Saxatilomys_paulinae,Terrestrial,116,318,150,168,32,0.528301887,1.12,"Francis & Barrett 2008, Musser et al 2005, Nguyen et al 2015",,,,,,,,,,,
Solomys_salebrosus,Arboreal,397,520.5,276.5,244,48.6,0.468780019,0.882459313,Flannery 1995b,,,,,,,,,,,
Sommeromys_macrorhinos,Arboreal,26.83,282.5,100,182.5,30,0.646017699,1.825,"Musser & Durden 2002, Rowe et al 2014",,,,,,,,,,,
Soricomys_kalinga,General,25,195,102,93,24,0.476923077,0.911764706,Heany et al 2016,,,,,,,,,,,
Soricomys_leonardcoi,Terrestrial,31,194,105.5,88.5,23,0.456185567,0.838862559,Heany et al 2016,,,,,,,,,,,
Soricomys_montanus,Terrestrial,27,190.5,98,92.5,24,0.485564304,0.943877551,Heany et al 2016,,,,,,,,,,,
Soricomys_musseri,Terrestrial,31,189,98.5,90.5,22,0.478835979,0.918781726,Heany et al 2016,,,,,,,,,,,
Srilankamys_ohiensis,Terrestrial,79.25,NA,NA,NA,NA,,,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Stenocephalemys_albipes,General,49.8,252,115,137,27,0.543650794,1.191304348,Kingdon et al 2013,,,,,,,,,,,
Stenocephalemys_albocaudata,Terrestrial,137,305,164,141,32,0.462295082,0.859756098,"Kingdon et al 2013, Nowak 1991",,,,,,,,,,,
Stenocephalemys_griseicauda,Terrestrial,92.375,296,154,142,30,0.47972973,0.922077922,Kingdon et al 2013,,,,,,,,,,,
Stochomys_longicaudatus,General,73.475,356.6,145.1,211.5,29.3,0.593101514,1.457615438,"Kingdon et al 2013, Nowak 1991",,,,,,,,,,,
Sundamys_annandalei,General,197.49,397.5,182.5,215,37.5,0.540880503,1.178082192,"Nowak 1991, Francis & Barrett 2008, Pimsai et al 2014",,,,,,,,,,,
Sundamys_infraluteus,Terrestrial,418.5,574,260,314,58,0.547038328,1.207692308,"Nowak 1991, Musser & Newcomb 1983",,,,,,,,,,,
Sundamys_maxi,General,361,528.2,241.5,286.7,53.1,0.542786823,1.187163561,"Nowak 1991, Musser & Newcomb 1983, Wilman et al 2014",,,,,,,,,,,
Sundamys_muelleri,General,300.44,547.5,243.8,303.7,47,0.554703196,1.245693191,"Nowak 1991, Francis & Barrett 2008, Musser and Newcomb 1983, IUCN 2017",,,,,,,,,,,
Taeromys_celebensis,General,252.7,498.6,224,274.6,50.1,0.550742078,1.225892857,"Musser & Newcomb 1983, Musser, 2014",,,,,,,,,,,
Taeromys_punicans,Terrestrial,138,NA,NA,NA,NA,,,Wilman et al 2014,,,,,,,,,,,
Taeromys_taerae,Terrestrial,247,NA,NA,NA,NA,,,Wilman et al 2014,,,,,,,,,,,
Tarsomys_apoensis,Terrestrial,76.7,286.8,145.5,141.3,31.5,0.492677824,0.971134021,"Nowak 1991,  Musser and Heaney 1992, Heaney et al 2006",,,,,,,,,,,
Tateomys_macrocercus,Terrestrial,40,278,112,166,30.67,0.597122302,1.482142857,"Nowak 1991,  Rowe et al 2014",,,,,,,,,,,
Tateomys_rhinogradoides,Terrestrial,86.5,308.5,145.5,163,37.25,0.528363047,1.120274914,"Nowak 1991, Musser 1969, Rowe et al 2014",,,,,,,,,,,
Thallomys_loringi,General,80,303,144,159,27,0.524752475,1.104166667,Kingdon et al 2013,,,,,,,,,,,
Thallomys_nigricauda,Arboreal,99.145,281.8,135,146.8,24.7,0.520936835,1.087407407,Kingdon et al 2013,,,,,,,,,,,
Thallomys_paedulcus,Arboreal,75,306.5,140.3,166.2,25.3,0.542251223,1.184604419,Kingdon et al 2013,,,,,,,,,,,
Thamnomys_kempi,Arboreal,79.5,357,155,202,29.3,0.565826331,1.303225806,Kingdon et al 2013,,,,,,,,,,,
Tokudaia_muenninki,Terrestrial,177.4,148,43,105,37,0.709459459,2.441860465,"Endo and Tsuchiya 2006, Wilman et al 2014",,,,,,,,,,,
Tokudaia_osimensis,Terrestrial,101.225,265.3,151,114.3,30.7,0.430833019,0.756953642,Nowak 1991,,,,,,,,,,,
Tokudaia_tokunoshimensis,Terrestrial,180,150,32,118,35,0.786666667,3.6875,"Endo and Tsuchiya 2006, Wilman et al 2014",,,,,,,,,,,
Tonkinomys_daovantieni,General,172.5,370,200,170,39,0.459459459,0.85,"Francis & Barrett 2008, / Musser & Lunde 2006",,,,,,,,,,,
Uromys_caudimaculatus,General,633.36,571.7,267.7,304,54.8,0.53174742,1.135599552,"Flannery 1995a, 1995b,  Strahan 1983, Rader and Krockenberger 2006, IUCN 2017",,,,,,,,,,,
Vandeleuria_oleracea,Arboreal,13.3,186.3,75,111.3,17.8,0.59742351,1.484,"Lekagul and McNeely 1979, Francis & Barrett 2008, Molur et al 2005",,,,,,,,,,,
Waiomys_mamasae,Amphibious,64,288,129,159,36,0.552083333,1.23255814,Rowe et al 2014,,,,,,,,,,,
Xenuromys_barbatus,Terrestrial,987.65,578,316,262,62.9,0.453287197,0.829113924,Flannery 1995a,,,,,,,,,,,
Xeromys_myoides,Terrestrial,45.45,217.3,117.3,100,25,0.460193281,0.852514919,"Strahan 1983, Nowak 1991, IUCN 2017, Watts & Aslin 1981",,,,,,,,,,,
Zelotomys_hildegardeae,Terrestrial,57.61,210.4,110,100.4,22.3,0.477186312,0.912727273,Kingdon et al 2013,,,,,,,,,,,
Zyzomys_argurus,Terrestrial,60,245,120,125,25,0.510204082,1.041666667,"Strahan 1983, Nowak 1991, IUCN 2017, Watts & Aslin 1981",,,,,,,,,,,
Zyzomys_maini,Terrestrial,93.995,296,150,146,,0.493243243,0.973333333,"Van Dyck and Strahan 2008,  Watts & Aslin 1981",,,,,,,,,,,
Zyzomys_palatalis,Terrestrial,115,257,126,131,,0.509727626,1.03968254,"Van Dyck and Strahan 2008,  IUCN 2017",,,,,,,,,,,
Zyzomys_woodwardi,Terrestrial,135,265,150,117,30,0.441509434,0.78,"Strahan 1983, Van Dyck and Strahan 2008, IUCN 2017",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
