Species,Locomotor_State,"Adult_Mass(g)",Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,Source (Author; Title; Year),,,,,,,,,,,
Bunomys_penitus,Terrestrial,144.9,342.4,173.5,168.9,40.2,0.49328271,0.973487032,"Musser, 2014",,,,,,,,,,,
Bunomys_prolatus,Terrestrial,131,299.6,167.2,132.4,33.9,0.441922563,0.791866029,"Musser, 2014, Wilman et al 2014",,,,,,,,,,,
Bunomys_torajae,Terrestrial,116.8,343.1,177.8,165.3,37.6,0.481783737,0.929696288,"Musser, 2014",,,,,,,,,,,
Carpomys_melanurus,Arboreal,165,363.5,182,181.5,33,0.499312242,0.997252747,"Heany et al 2016, Nowak 1991",,,,,,,,,,,
Carpomys_phaeurus,Arboreal,123,329,177.8,164.3,31.5,0.499392097,0.924071991,"Heany et al 2016, Nowak 1991",,,,,,,,,,,
Chiromyscus_chiropus,Arboreal,77.8,366.8,148,218.8,28,0.59651036,1.478378378,"Lekagul & McNeely 1977, Nowak 1991, Smith and Xie 2013",,,,,,,,,,,
Chiromyscus_thomasi,Arboreal,90,377.5,162.5,215,28,0.569536424,1.323076923,Balakirev et al 2014,,,,,,,,,,,
Chiropodomys_gliroides,Arboreal,23.89,215.9,89.2,126.7,18.5,0.586845762,1.420403587,"Lekagul & McNeely 1977, Nowak 1991,  Musser 1979",,,,,,,,,,,
Chiropodomys_major,Arboreal,33.2,233.7,105.3,128.4,24.1,0.549422336,1.219373219,"Nowak 1991,  Musser 1979",,,,,,,,,,,
Chiruromys_vates,Arboreal,45.73,272.5,110,162.5,24.3,0.596330275,1.477272727,"Flannery 1995a,  Nowak 1991",,,,,,,,,,,
Chrotomys_gonzalesi,Terrestrial,136.8,262.5,168.5,94,36.5,0.358095238,0.557863501,Heany et al 2016,,,,,,,,,,,
Chrotomys_mindorensis,Terrestrial,163.74,284.5,173.5,111,38,0.390158172,0.639769452,"Heany et al 2016,  Nowak 1991",,,,,,,,,,,
Chrotomys_sibuyanensis,Terrestrial,104,242,160,82,34,0.338842975,0.5125,Rickart et al. 2005,,,,,,,,,,,
Chrotomys_silaceus,Terrestrial,115.5,269,160,109,36.5,0.405204461,0.68125,Heany et al 2016,,,,,,,,,,,
Chrotomys_whiteheadi,Terrestrial,149.74,282,167,115,38,0.407801418,0.688622754,Heany et al 2016,,,,,,,,,,,
Coccymys_ruemmleri,General,31.55,268,109,159,24.8,0.593283582,1.458715596,Flannery 1995a,,,,,,,,,,,
Colomys_goslingi,Amphibious,61.5,282.4,122.4,160,37.9,0.566572238,1.307189542,"Kingdon et al 2013, Nowak 1991",,,,,,,,,,,
Conilurus_penicillatus,Arboreal,190.54,371.5,188.5,183,48,0.492597577,0.970822281,"Flannery 1995a, Strahan 1983",,,,,,,,,,,
Crateromys_australis,General,445,546,265,281,54,0.514652015,1.060377358,"Musser et al 1998, Wilman et al 2014",,,,,,,,,,,
Crateromys_heaneyi,Arboreal,124,599.5,279.5,320,63.5,0.533778148,1.14490161,Gonzales & Kennedy 1996 ,,,,,,,,,,,
Crateromys_schadenbergi,Arboreal,1450,681.5,360.8,405.7,77.5,0.595304475,1.124445676,"Heany et al 2016,  Musser et al 1998",,,,,,,,,,,
Cremnomys_cutchicus,Terrestrial,59.8,258,117,141,,0.546511628,1.205128205,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Crossomys_moncktoni,Amphibious,166.71,404,188,216,51.2,0.534653465,1.14893617,Flannery 1995a,,,,,,,,,,,
Crunomys_celebensis,Terrestrial,48.3,193.6,112.6,81,25,0.41838843,0.719360568,"Nowak 1991, Achmadi et al 2014",,,,,,,,,,,
Crunomys_fallax,Terrestrial,37.5,184,105,79,,0.429347826,0.752380952,"Heany et al 2016, Wilman et al 2014",,,,,,,,,,,
Crunomys_melanius,Terrestrial,54.5,190.8,110,80.8,26,0.423480084,0.734545455,Nowak 1991,,,,,,,,,,,
Crunomys_suncoides,Terrestrial,37,209,108,101,27,0.483253589,0.935185185,Rickart et al 1998,,,,,,,,,,,
Dacnomys_millardi,Terrestrial,168.3,452.9,198.6,254.3,44.8,0.561492603,1.280463243,"Nowak 1991, Smith and Xie 2013, Musser 1981, Wilman et al 2014",,,,,,,,,,,
Dasymys_incomtus,Terrestrial,131.525,299.1,154.3,144.8,33.8,0.484119024,0.938431627,Kingdon et al 2013,,,,,,,,,,,
Dasymys_rufulus,Terrestrial,78,289.4,144.3,145.1,33.2,0.50138217,1.005544006,Kingdon et al 2013,,,,,,,,,,,
Dephomys_defua,Arboreal,45.025,320.9,126.3,194.6,26.5,0.606419445,1.54077593,"Kingdon et al 2013, Nowak 1991",,,,,,,,,,,
Desmomys_harringtoni,General,77.445,264.6,136.3,128.3,27.6,0.484882842,0.941305943,Kingdon et al 2013,,,,,,,,,,,
Diplothrix_legata,Arboreal,76.52,560,275,285,,0.508928571,1.036363636,"Sugimura et al 2003, Nowak 1991, Wilman 2014",,,,,,,,,,,
Echiothrix_centrosa,Terrestrial,253,447,205,242,51,0.541387025,1.180487805,"LSUMZ specimens, Musser & Durden 2014",,,,,,,,,,,
Echiothrix_leucura,Terrestrial,63.68,460,225,235,55,0.510869565,1.044444444,"LSUMZ specimens, Musser & Durden 2014, Wilman 2014",,,,,,,,,,,
Eropeplus_canus,General,275,543,266,277,48,0.510128913,1.041353383,"LSUMZ specimens, Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Golunda_ellioti,General,62.065,212.1,128.4,83.7,25.9,0.394625177,0.651869159,Nowak 1991,,,,,,,,,,,
Gracilimus_radix,Terrestrial,41,277,118,159,29,0.57400722,1.347457627,Rowe et al. 2016,,,,,,,,,,,
Grammomys_cometes,Arboreal,48.5,286,118,168,24,0.587412587,1.423728814,Kingdon et al 2013,,,,,,,,,,,
Grammomys_dolichurus,General,39.525,284.5,115.3,169.2,23.5,0.594727592,1.467476149,"Kingdon et al 2013,  Delany 1971",,,,,,,,,,,
Grammomys_ibeanus,Arboreal,42.445,303,120.4,182.6,22.5,0.602640264,1.516611296,Kingdon et al 2013,,,,,,,,,,,
Grammomys_macmillani,Arboreal,39.505,270.7,105.7,165,23,0.609530846,1.56102176,Kingdon et al 2013,,,,,,,,,,,
Grammomys_surdaster,Arboreal,35.995,283,110,173,23,0.61130742,1.572727273,Kingdon et al 2013,,,,,,,,,,,
