"node","clade","node.type","branch.length","label","astral","gcf","scf"
116,"Notomys_cervinus_M22857","tip",NA,"Notomys_cervinus_M22857",NA,NA,NA
117,"Notomys_mitchellii_M21518","tip",NA,"Notomys_mitchellii_M21518",NA,NA,NA
118,"Notomys_fuscus_M22830","tip",NA,"Notomys_fuscus_M22830",NA,NA,NA
119,"Notomys_aquilo_M-32455","tip",NA,"Notomys_aquilo_M-32455",NA,NA,NA
120,"Notomys_alexis_U1308","tip",NA,"Notomys_alexis_U1308",NA,NA,NA
121,"Pseudomys_occidentalis_ABTC08043","tip",NA,"Pseudomys_occidentalis_ABTC08043",NA,NA,NA
122,"Pseudomys_fumeus_ABTC08168","tip",NA,"Pseudomys_fumeus_ABTC08168",NA,NA,NA
123,"Pseudomys_albocinereus_WAMM18855","tip",NA,"Pseudomys_albocinereus_WAMM18855",NA,NA,NA
124,"Pseudomys_apodemoides_M16672","tip",NA,"Pseudomys_apodemoides_M16672",NA,NA,NA
125,"Pseudomys_gracilicaudatus_ABTC08163","tip",NA,"Pseudomys_gracilicaudatus_ABTC08163",NA,NA,NA
126,"Pseudomys_nanus_U1448","tip",NA,"Pseudomys_nanus_U1448",NA,NA,NA
127,"Pseudomys_oralis_RAT7","tip",NA,"Pseudomys_oralis_RAT7",NA,NA,NA
128,"Pseudomys_desertor_ABTC41464","tip",NA,"Pseudomys_desertor_ABTC41464",NA,NA,NA
129,"Pseudomys_shortridgei_Z25113","tip",NA,"Pseudomys_shortridgei_Z25113",NA,NA,NA
130,"Pseudomys_australis_M25541","tip",NA,"Pseudomys_australis_M25541",NA,NA,NA
131,"Mastacomys_fuscus_M13957","tip",NA,"Mastacomys_fuscus_M13957",NA,NA,NA
132,"Pseudomys_higginsi_UC1421","tip",NA,"Pseudomys_higginsi_UC1421",NA,NA,NA
133,"Pseudomys_hermannsburgensis_ABTC08067","tip",NA,"Pseudomys_hermannsburgensis_ABTC08067",NA,NA,NA
134,"Pseudomys_delicatulus_U1509","tip",NA,"Pseudomys_delicatulus_U1509",NA,NA,NA
135,"Pseudomys_bolami_ABTC107389","tip",NA,"Pseudomys_bolami_ABTC107389",NA,NA,NA
136,"Pseudomys_novaehollandiae_ABTC08140","tip",NA,"Pseudomys_novaehollandiae_ABTC08140",NA,NA,NA
137,"Vandeleuria_oleracea_ABTC116404","tip",NA,"Vandeleuria_oleracea_ABTC116404",NA,NA,NA
138,"Pithecheir_melanurus_LSUMZ38198","tip",NA,"Pithecheir_melanurus_LSUMZ38198",NA,NA,NA
139,"Otomys_tropicalis_LSUMZ37841","tip",NA,"Otomys_tropicalis_LSUMZ37841",NA,NA,NA
140,"Otomys_denti_LSUMZ37840","tip",NA,"Otomys_denti_LSUMZ37840",NA,NA,NA
141,"Oenomys_hypoxanthus_LSUMZ37838","tip",NA,"Oenomys_hypoxanthus_LSUMZ37838",NA,NA,NA
142,"Hybomys_planifrons_R24117","tip",NA,"Hybomys_planifrons_R24117",NA,NA,NA
143,"Hybomys_univittatus_TCD4026","tip",NA,"Hybomys_univittatus_TCD4026",NA,NA,NA
144,"Hybomys_lunaris_LSUMZ37734","tip",NA,"Hybomys_lunaris_LSUMZ37734",NA,NA,NA
145,"Stochomys_longicaudatus_MNHN1999459","tip",NA,"Stochomys_longicaudatus_MNHN1999459",NA,NA,NA
146,"Dephomys_defua_MNHNR24062","tip",NA,"Dephomys_defua_MNHNR24062",NA,NA,NA
147,"Micaelemys_namaquensis_MNHN1987009","tip",NA,"Micaelemys_namaquensis_MNHN1987009",NA,NA,NA
148,"Aethomys_hindei_MVZ196257","tip",NA,"Aethomys_hindei_MVZ196257",NA,NA,NA
149,"Aethomys_nyikae_FMNH196708","tip",NA,"Aethomys_nyikae_FMNH196708",NA,NA,NA
150,"Thallomys_paedulcus_FMNH158089","tip",NA,"Thallomys_paedulcus_FMNH158089",NA,NA,NA
151,"Grammomys_dryas_LSUMZ37716","tip",NA,"Grammomys_dryas_LSUMZ37716",NA,NA,NA
152,"Thamnomys_venustus_LSUMZ37935","tip",NA,"Thamnomys_venustus_LSUMZ37935",NA,NA,NA
153,"Thamnomys_kempi_TCD4437","tip",NA,"Thamnomys_kempi_TCD4437",NA,NA,NA
154,"Dasymys_montanus_FMNH144389","tip",NA,"Dasymys_montanus_FMNH144389",NA,NA,NA
155,"Dasymys_incomtus_LSUMZ37702","tip",NA,"Dasymys_incomtus_LSUMZ37702",NA,NA,NA
156,"Rhabdomys_pumilio_MNHN1995065","tip",NA,"Rhabdomys_pumilio_MNHN1995065",NA,NA,NA
157,"Mylomys_dybowskii_MNHN1997072","tip",NA,"Mylomys_dybowskii_MNHN1997072",NA,NA,NA
158,"Pelomys_isseli_FMNH137886","tip",NA,"Pelomys_isseli_FMNH137886",NA,NA,NA
159,"Pelomys_minor_FMNH219213","tip",NA,"Pelomys_minor_FMNH219213",NA,NA,NA
160,"Lemniscomys_striatus_TCD4711","tip",NA,"Lemniscomys_striatus_TCD4711",NA,NA,NA
161,"Arvicanthus_niloticus_MNHN1999201","tip",NA,"Arvicanthus_niloticus_MNHN1999201",NA,NA,NA
162,"Arvicanthus_neumanni_FMNH158037","tip",NA,"Arvicanthus_neumanni_FMNH158037",NA,NA,NA
163,"Malacomys_longipes_TCD4253","tip",NA,"Malacomys_longipes_TCD4253",NA,NA,NA
164,"Apodemus_sylvaticus_SMG3823","tip",NA,"Apodemus_sylvaticus_SMG3823",NA,NA,NA
165,"Praomys_jacksoni_REC31","tip",NA,"Praomys_jacksoni_REC31",NA,NA,NA
166,"Praomys_degraaffi_TCD4312","tip",NA,"Praomys_degraaffi_TCD4312",NA,NA,NA
167,"Mastomys_natalensis_T4162","tip",NA,"Mastomys_natalensis_T4162",NA,NA,NA
168,"Myomyscus_verreauxii_MNHN1999102","tip",NA,"Myomyscus_verreauxii_MNHN1999102",NA,NA,NA
169,"Zelotomys_woosnami_TTU-M115260","tip",NA,"Zelotomys_woosnami_TTU-M115260",NA,NA,NA
170,"Colomys_goslingi_TCD4175","tip",NA,"Colomys_goslingi_TCD4175",NA,NA,NA
171,"Heimyscus_fumosus_FMNH167810","tip",NA,"Heimyscus_fumosus_FMNH167810",NA,NA,NA
172,"Hylomyscus_stella_LSUMZ37742","tip",NA,"Hylomyscus_stella_LSUMZ37742",NA,NA,NA
173,"Hylomyscus_vulcanorum_TCD4382","tip",NA,"Hylomyscus_vulcanorum_TCD4382",NA,NA,NA
174,"Mus_pahari_10460X1","tip",NA,"Mus_pahari_10460X1",NA,NA,NA
175,"Mus_minutoides_10460X2","tip",NA,"Mus_minutoides_10460X2",NA,NA,NA
176,"Mus_musculoides_LSUMZ37820","tip",NA,"Mus_musculoides_LSUMZ37820",NA,NA,NA
177,"Mus_platythrix_10460X13","tip",NA,"Mus_platythrix_10460X13",NA,NA,NA
178,"Mus_caroli_10460X9","tip",NA,"Mus_caroli_10460X9",NA,NA,NA
179,"Mus_cookii_10460X3","tip",NA,"Mus_cookii_10460X3",NA,NA,NA
180,"Mus_cervicolor_10460X10","tip",NA,"Mus_cervicolor_10460X10",NA,NA,NA
181,"Mus_spretus_10460X4","tip",NA,"Mus_spretus_10460X4",NA,NA,NA
182,"Mus_spicilegus_10460X11","tip",NA,"Mus_spicilegus_10460X11",NA,NA,NA
183,"Mus_macedonicus_10460X12","tip",NA,"Mus_macedonicus_10460X12",NA,NA,NA
184,"Mus_musculus-castaneus_10460X7","tip",NA,"Mus_musculus-castaneus_10460X7",NA,NA,NA
185,"Mus_musculus-musculus_10460X14","tip",NA,"Mus_musculus-musculus_10460X14",NA,NA,NA
186,"Mus_musculus-reference_10460X5","tip",NA,"Mus_musculus-reference_10460X5",NA,NA,NA
187,"Mus_musculus-domesticus_10460X15","tip",NA,"Mus_musculus-domesticus_10460X15",NA,NA,NA
188,"mm10","tip",0,"mm10",NA,NA,NA
