generation,rank_1,rank_2,swapAccepted
963000,1,3,1
964000,2,3,1
965000,1,3,1
966000,3,4,1
967000,1,4,1
968000,1,3,1
969000,2,3,1
970000,1,4,1
971000,3,4,1
972000,2,4,1
973000,1,4,1
974000,3,4,1
975000,2,3,1
976000,2,4,1
977000,1,4,1
978000,3,4,1
979000,2,3,1
980000,1,3,1
981000,2,3,1
982000,1,4,1
983000,2,3,1
984000,2,4,1
985000,1,4,1
986000,2,3,1
987000,2,3,1
988000,2,3,1
989000,2,3,1
990000,1,3,1
991000,1,3,1
992000,1,2,1
993000,2,3,1
994000,1,2,1
995000,3,4,1
996000,2,3,1
997000,1,2,1
998000,1,3,1
999000,1,4,1
1000000,1,4,1
