Geographic Region,Subfamily,Tribe,Division,Genus,Species,Genus species,Extinct/TAXONOMY,Notes Specimen Taxonomy,Exome
ASIA,Murinae,Rattini,Dacnomys,Niviventer,andersoni,Niviventer andersoni,,,
ASIA,Murinae,Rattini,Dacnomys,Niviventer,excelsior,Niviventer excelsior,,,
SUNDA,Murinae,incertae sedis,Pithecheir,Pithecheirops,otion,Pithecheirops otion,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Grammomys,buntingi,Grammomys buntingi,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,orestes,Otomys orestes,,,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,pallipes,Apodemus pallipes,,,
ASIA,Murinae,Hapalomyini,Hapalomys,Hapalomys,longicaudatus,Hapalomys longicaudatus,,,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,rusiges,Apodemus rusiges,,,
WALLACEA,Murinae,Rattini,Rattus,Nesoromys,ceramicus,Nesoromys ceramicus,,,
SAHUL,Murinae,Hydromyini,Conilurus,Conilurus,albipes,Conilurus albipes,EXTINCT,,1
SAHUL,Murinae,Hydromyini,Conilurus,Leporillus,apicalis,Leporillus apicalis,EXTINCT,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,amplus,Notomys amplus,EXTINCT,,
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,longicaudatus,Notomys longicaudatus,EXTINCT,,
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,macrotis,Notomys macrotis,EXTINCT,,
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,auritus,Pseudomys auritus,EXTINCT,,
SUNDA,Murinae,Rattini,Rattus,Rattus,nativitatis,Rattus nativitatis,EXTINCT,Bunomys division,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,porculus,Uromys porculus,EXTINCT,Not Uromys,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,rex,Uromys rex,EXTINCT,,
ASIA,Murinae,Rattini,Rattus,Rattus,pyctoris,Rattus pyctoris,Junior Synonym?,Check Junior Synonyms,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,obiensis,Melomys obiensis,M.burtoni complex,M.burtoni complex,
