# Rodent assembly and mapping stats
# PYTHON VERSION: 3.6.10
# Script call:    get_spades_stats.py -p 64
# Runtime:        10/03/2020 12:20:52
# ----------------
# Total species:              210
# Total target length:        54359343.0
# Mapping directory:          ../../01-Assembly-data/06-Map/
# Assembly directory:         ../../01-Assembly-data/05-Scaffolds/
# Output file:                spades-stats.csv
# ----------
species,num-scaffs,avg-scaff-len,asm-len,asm-n50,asm-l50,asm-reads-mapped,asm-perc-reads-mapped,asm-paired-mapped,asm-perc-paired-mapped,asm-pair-mapped-diff-chr,asm-single-mapped,asm-perc-single-mapped,asm-duplicate-reads,asm-avg-depth,asm-avg-start-depth,asm-avg-mid-depth,asm-avg-end-depth,mouse-reads-mapped,mouse-perc-reads-mapped,mouse-paired-mapped,mouse-perc-paired-mapped,mouse-pair-mapped-diff-chr,mouse-single-mapped,mouse-perc-single-mapped,mouse-duplicate-reads,mouse-target-reads-mapped,mouse-target-perc-reads-mapped,mouse-target-paired-mapped,mouse-target-perc-paired-mapped,mouse-target-pair-mapped-diff-chr,mouse-target-single-mapped,mouse-target-perc-single-mapped,mouse-avg-depth,mouse-target-avg-depth,referee-unmapped-pos,referee-errors-corrected,referee-error-rate,referee-low-scores,referee-reads-mapped,referee-perc-reads-mapped,referee-duplicate-reads,referee-avg-depth,referee-avg-start-depth,referee-avg-mid-depth,referee-avg-end-depth,ins-removed,dels-removed,complex-removed,total-snps,filtered-snps
Saxatilomys-paulinae,160685,846.965167875035,136094598.0,898,45101,32467785,93.61,30554840,88.73,1178622,481217,1.40,[14139365.0],18.975909521981965,5.640144250031372,22.251324487944352,5.718096574913409,34812795,97.51,30695268,89.14,1860164,572183,1.66,[14097879.0],24663073,99.20,23442207,95.21,364595,346154,1.41,29.23299182935201,25.963064141522093,3568166,111913,0.0008223177234411612,3570832,32474700,93.63,[14143314.0],18.978599100340514,5.646115030207655,22.253218453995927,5.7284815146548285,25515,19603,430,276810,358
Crunomys-melanius-KU168558,125266,1085.8239506330528,136016823.0,1089,37093,30582243,93.65,28579964,88.34,1013014,637593,1.97,[12979735.0],17.896632190556744,5.800968092890881,20.888099126689117,6.031526646315926,32735373,97.05,28142726,86.99,2051286,591329,1.83,[12798151.0],22210828,99.13,20747624,93.99,413960,323040,1.46,26.56867864126203,23.874789343940378,1199232,56634,0.00041637496561730455,1201110,30585134,93.66,[12980983.0],17.898864267149058,5.810549451849967,20.889137891613057,6.0356693837337705,25220,19797,456,256129,281
Microhydromys-richardsoni,175074,819.2975427533501,143437698.0,909,46845,35445920,94.43,32410552,87.27,2051488,578403,1.56,[14257986.0],20.62258559426738,6.80948173587554,24.003164946054177,6.934552053377507,38351465,98.06,32495360,87.50,2676482,474056,1.28,[14195476.0],26215951,99.42,24462488,94.52,497304,248031,0.96,32.10332977964673,29.447585082108148,4162506,85931,0.0005990823974322288,4165400,35450793,94.44,[14261326.0],20.62307477274654,6.816789572710514,24.003198326073434,6.938281198635456,29330,23342,578,310884,375
Uromys-caudimaculatus,129226,1013.4760961416433,130967462.0,997,37409,34818066,94.07,32585278,88.85,1254896,625631,1.71,[14605898.0],21.59644574776734,6.850768756692498,25.246669990782244,7.096762558278731,37823933,98.18,32170992,87.72,2491972,445993,1.22,[14534132.0],26183167,99.46,24345689,94.36,459808,238965,0.93,31.154198336947292,28.779465638501186,1049318,111688,0.0008527919705735765,1052876,34823540,94.08,[14608612.0],21.59915295528825,6.85915229995053,25.248239013631874,7.102545901758755,28836,23915,559,335794,533
Mirzamys-louiseae,131150,1030.5627754479603,135158308.0,1008,37952,39195721,94.22,36678440,89.07,1329416,746934,1.81,[16625154.0],23.148165344858832,7.454978877215146,27.014723286109824,7.849465351727063,42688290,98.39,36295444,88.14,2847022,460778,1.12,[16579066.0],29742401,99.49,27649546,94.45,581264,248027,0.85,35.02997168290045,32.48855487455027,1057536,98194,0.0007265110184717612,1060141,39201384,94.23,[16626551.0],23.15228318578777,7.459995630722755,27.01810101547573,7.858447405035096,27712,22870,513,294338,425
Papagomys-armandvillei,158652,871.3711708645337,138244779.0,911,44874,36641640,94.18,34402046,89.16,1379436,534393,1.38,[14222930.0],22.785628068039095,6.491643733571835,26.80672740705289,6.57680760491892,39190828,97.60,34285124,88.86,2224942,610348,1.58,[14129036.0],27858428,99.27,26437832,95.20,442594,358695,1.29,36.02968902523649,32.035243932216034,2693320,117399,0.0008492110938959944,2696117,36648640,94.20,[14226497.0],22.78690400821954,6.503241324594519,26.807071595885656,6.581871678385939,30565,24106,554,353289,380
Chiromyscus-chiropus,161690,803.5583647720947,129927352.0,849,46786,32448438,92.87,30185032,87.18,1454634,489599,1.41,[13788363.0],19.951123985175805,6.057022520344706,23.374662112401825,6.069743157503331,35078962,97.43,30647818,88.52,2038152,573041,1.66,[13827369.0],24905540,99.23,23615233,95.05,416290,342977,1.38,30.57453063282227,26.715552761555635,2771682,103347,0.0007954214290459794,2774293,32455846,92.89,[13792563.0],19.95208194670489,6.066051924606295,23.375099607989387,6.074958839206766,51574,40692,721,610279,551
Pogonomelomys-mayeri,128147,957.0663690917462,122645184.0,937,38140,29667498,93.43,27471388,87.43,1360096,488499,1.55,[11571133.0],20.4929910537359,7.135974459880814,23.81362078647461,7.242045175250948,32141565,97.42,27261462,86.76,2157698,387286,1.23,[11525331.0],21424007,99.48,20062831,94.79,363343,181368,0.86,26.85958145279464,24.64240191423947,939402,105082,0.0008567967903248447,944247,29672465,93.44,[11572773.0],20.497292893174684,7.157269109697219,23.815562406786697,7.2481480485088845,34645,28044,678,520048,734
Paraleptomys-wilhelmina,173356,810.4491220378874,140496218.0,883,46548,39326794,94.48,36409528,88.30,1957018,564585,1.37,[15701746.0],23.415489894486658,7.477640137506272,27.33718505210535,7.488615758771619,42845548,98.63,36782754,89.20,2641482,376113,0.91,[15761511.0],30050862,99.62,28169150,95.28,469218,191760,0.65,36.69809955088156,34.00341588013674,3586508,131317,0.0009346657288668084,3590177,39335363,94.50,[15705423.0],23.419132505129557,7.478954907847714,27.340511006531543,7.503534756990477,27433,21895,505,304785,447
Oenomys-hypoxanthus,165613,857.3975472939926,141996180.0,913,45452,35296688,94.58,33143946,89.40,1410860,489597,1.32,[14247940.0],21.136106347984573,6.1226598679059565,24.843624451591175,6.112469148852853,37822831,98.55,34067578,91.89,1690938,363315,0.98,[14340806.0],27381279,99.60,26455612,96.87,329602,196774,0.72,33.29332185355503,30.889902293337137,3223581,100184,0.0007055401067831543,3226618,35302000,94.59,[14251808.0],21.134747141255666,6.132171706959262,24.840884000777418,6.120839866094208,34423,25823,606,407228,397
Bandicota-indica,130252,847.3813914565611,110373121.0,859,38895,27904610,92.03,26188890,87.15,1030718,408512,1.36,[11119378.0],20.796526383062023,6.136354905461127,24.42260216687539,6.260844641487837,30769678,97.85,26686988,88.81,1803888,423335,1.41,[11304318.0],21989973,99.35,20666085,94.90,383990,253435,1.16,28.498102118427518,24.629767545203777,1373680,121126,0.0010974229858010448,1376421,27913119,92.05,[11121905.0],20.801427646694204,6.154028511842053,24.42563214970904,6.269323341489539,25176,19703,383,265350,330
Rattus-xanthurus,167384,871.7717404291927,145920641.0,945,46360,35541623,94.06,32820896,87.55,1813186,606999,1.62,[14055645.0],20.836674603607737,6.281678058674561,24.414666084302947,6.392123467535001,37920440,97.10,32650342,87.09,2301934,727006,1.94,[13894161.0],26488001,99.06,24667996,93.64,507441,434505,1.65,33.947750255845605,30.161478478501845,3443312,70059,0.00048011713435387114,3445613,35546184,94.07,[14058740.0],20.83526106479592,6.285225841976312,24.412182936189673,6.402894150905686,34650,26572,584,414095,312
Lenomys-meyeri,155704,899.7019922416894,140087199.0,1020,41787,37402127,93.86,34497066,87.27,1948734,614828,1.56,[15134225.0],21.43455537546532,6.939089949903551,25.016921476772907,6.997768949092855,40280259,97.29,34758326,87.93,2325130,705634,1.79,[15556583.0],27391089,99.10,25522572,94.04,530798,408544,1.51,32.86741517812385,29.32420049668371,2663106,59431,0.0004242429031649066,2665932,37407446,93.87,[15136758.0],21.435566343563845,6.953143080264468,25.015943605519723,7.004935005568033,26637,20898,483,311539,288
Thamnomys-kempi,221961,652.2752105099545,144779658.0,784,56515,30945363,93.93,28082542,85.87,2158312,455681,1.39,[12138246.0],18.849901383032226,5.822518764103888,21.988391844003715,5.899015793492485,33591664,98.35,29255714,89.46,1802082,333561,1.02,[12273490.0],23687402,99.57,22261026,95.15,346645,171426,0.73,29.349226922443826,27.16886655528563,8923673,131822,0.0009105008384534242,8926466,30952416,93.95,[12144501.0],18.853768965423008,5.825494142824878,21.993069490185214,5.906113246695559,33160,25831,618,439404,485
Parahydromys-asper,162319,792.3442542154646,128612527.0,859,44457,33065446,93.57,30695440,87.68,1550538,478832,1.37,[13964140.0],20.572796199281488,6.507674619994622,24.002099439562866,6.76976799509988,36350720,98.71,31399166,89.69,2144438,309943,0.89,[14135551.0],25909691,99.63,24394809,95.57,378946,164423,0.64,30.752033478725725,28.131845081350598,3075895,129119,0.0010039379756530248,3079346,33073959,93.59,[13968734.0],20.576318958509034,6.518188679172808,24.004733797485823,6.779246900809302,27810,22111,497,311224,391
Rattus-argentiventer,125129,929.0108927586731,116246204.0,888,39217,28758949,92.23,27306800,88.38,696024,464490,1.50,[12071081.0],19.85381795799938,5.670829051994656,23.379214741131005,5.792959570991318,31273853,97.41,27336184,88.47,1825154,521787,1.69,[12135213.0],22319084,99.22,21153615,94.99,380052,317540,1.43,27.815598460794874,24.20016722792253,792552,95447,0.0008210762735959963,794882,28765866,92.25,[12073215.0],19.858199176750098,5.68755795518805,23.381875717181522,5.798788165070346,53694,42798,754,644798,590
Uromys-sp-nov,125337,966.0629502860289,121083432.0,945,36756,34663041,93.45,32647106,88.81,1145522,517149,1.41,[14874035.0],22.637949877925053,7.4919757866367345,26.41390678907856,7.546363813231973,37983419,98.51,32824720,89.30,2243684,345488,0.94,[14989620.0],26828806,99.62,25241600,95.49,378862,178983,0.68,31.420568565239286,28.929861863856598,799922,130754,0.001079866979654161,803953,34670738,93.46,[14876432.0],22.64267501946771,7.502640418197823,26.416002861734906,7.566028803229484,28164,23558,492,350522,560
Otomys-tropicalis,162871,1000.6160458276796,162971336.0,1059,44464,58123371,95.29,54972984,90.68,2042608,697903,1.15,[26848653.0],26.8941575777571,7.591243532024231,31.64298143871354,7.95538556427484,61104173,97.76,55367146,91.33,2402998,697080,1.15,[26536206.0],43559315,99.49,41971651,96.54,485825,379315,0.87,46.87851981677388,43.75824100743822,2360347,60185,0.0003692980709196616,2364156,58128603,95.30,[26852684.0],26.89525197557849,7.599684047359423,31.642983227219954,7.961631774655619,32178,26008,595,339766,468
Niviventer-cremoriventer,204417,711.2940068585294,145400587.0,817,55430,44109926,94.11,40528902,87.36,2533462,561596,1.21,[17612587.0],25.3404763874901,7.917130792945414,29.604076924101175,7.7300039523807875,47349594,97.69,41197450,88.80,2832222,699748,1.51,[17632573.0],33357134,99.30,31622818,95.26,583681,414767,1.25,42.15002849023654,37.24208381252878,5079856,114508,0.0007875346472982259,5083575,44119217,94.12,[17619138.0],25.341886258424957,7.926162942949871,29.604990260419402,7.737988703563488,45425,35236,817,473435,577
Otomys-denti,201151,728.1787910574643,146473892.0,864,52025,35575861,93.85,32571908,86.56,2208384,499176,1.33,[14569521.0],19.904522390473083,6.350134523783096,23.192550908252915,6.426384787827364,38249503,98.26,34372984,91.34,1684842,385369,1.02,[14699299.0],26857490,99.55,25864549,96.56,323910,203901,0.76,31.319744288065166,29.09545599180623,5661699,90728,0.0006194141410538883,5665002,35583594,93.87,[14576470.0],19.902849430555147,6.351140913428647,23.19071917125639,6.432832468293738,39740,30669,686,547864,566
Praomys-jacksoni,169202,782.3783111310742,132379975.0,867,45598,35910529,93.47,32696916,86.12,2137712,548129,1.44,[15107468.0],21.244467429449127,7.648033757712229,24.60005776318242,7.561159838709306,39654684,98.87,33805596,89.04,2585572,278789,0.73,[15373545.0],27401398,99.69,25694671,95.43,441041,130286,0.48,31.331661211583352,29.439984291200872,3193159,115361,0.0008714384483000544,3196407,35919120,93.49,[15112706.0],21.24517248277259,7.660343939268773,24.598530382795662,7.574687433523212,43189,33424,770,540615,639
Margaretamys-christinae,129489,949.0408760589703,122890354.0,928,38306,37261744,93.74,35177130,89.27,1230314,500679,1.27,[15822360.0],24.11552762684104,7.475656966104234,28.252803955034477,7.62486457279414,40325269,97.78,34747576,88.18,2403402,548947,1.39,[15891767.0],28156602,99.33,26256960,94.43,461160,311008,1.12,33.21394054295412,30.170692147622166,840023,125212,0.0010188920116545519,845418,37270441,93.76,[15824870.0],24.120237492435464,7.485811129811764,28.254599734534835,7.647235173686882,26466,21303,490,332858,553
Dasymys-incomtus,174859,735.4762694513865,128604645.0,832,46548,37780735,93.00,35338590,87.57,1606574,420948,1.04,[18031354.0],20.846101936074053,6.4774410288366875,24.36628734105766,6.498509077632214,41268798,98.70,37178598,92.13,1672902,309531,0.77,[18411915.0],30025412,99.69,28943412,96.94,293497,155651,0.52,30.948652836748984,28.62700113943614,3917525,131322,0.0010211295245206734,3919323,37791950,93.02,[18038463.0],20.850008117278584,6.490605234491753,24.36836756797229,6.511653770743582,34618,28050,664,417937,606
Taeromys-callitrichus,126845,1031.90851827033,130892436.0,1037,37505,40005188,93.47,37891714,89.35,980620,628676,1.48,[16697108.0],23.74381194652551,6.754787613879874,27.938172597817093,7.135931890390951,43161511,97.70,37772306,89.07,2381362,625467,1.47,[16697201.0],30206334,99.30,28620018,95.19,483368,357014,1.19,36.0364934366864,32.138575479103935,1415239,90679,0.0006927749438477866,1417488,40013779,93.48,[16699315.0],23.749188995122566,6.769929579803815,27.941581562768526,7.146664508501809,25186,20395,398,262667,405
Hybomys-lunaris,162417,784.6333204036523,127437790.0,847,44572,38154738,93.55,35917674,88.70,1538948,387763,0.96,[16827878.0],23.241187480973867,7.131674237967137,27.23485607809103,6.940319419964622,41320453,98.54,37463154,92.52,1593950,338519,0.84,[17158301.0],30712900,99.66,29602602,97.05,288542,185147,0.61,35.19272259186934,32.164047346929856,2446850,109803,0.0008616204031786803,2449004,38164668,93.57,[16833875.0],23.241855193773198,7.13898525881984,27.234083072450034,6.954001735489781,36179,27856,755,470051,547
Sundamys-annandalei,130125,958.6484687800192,124744132.0,937,39288,37061798,93.31,35202886,89.47,956230,522721,1.33,[15715060.0],23.465846825720345,6.718353122367472,27.639247520193535,6.7724438850939555,40111227,97.82,35109248,89.23,2245964,557837,1.42,[15795058.0],28724343,99.34,27191955,95.24,463288,331684,1.16,34.640674789413566,30.811269978005438,866818,96557,0.0007740404173881302,868739,37070912,93.33,[15717278.0],23.47186157707948,6.736059035308337,27.643361997644043,6.781630464831247,39406,31283,620,451710,582
Nesokia-indica,147626,740.2962079850433,109286968.0,797,42225,33280440,91.32,31279052,86.70,1233196,396313,1.10,[13714507.0],23.593684115944058,7.226751208639512,27.620214089221275,7.210498159534291,37250323,98.41,32635192,90.46,2022844,365943,1.01,[14179799.0],26459683,99.55,25168206,96.09,392455,209738,0.80,32.44133351369727,28.239236059199612,2249333,96426,0.0008823192898900809,2251405,33292310,91.34,[13720781.0],23.599500158113646,7.249293268894289,27.62227198000279,7.229674807138804,27492,21600,516,325478,484
Macruromys-major,131637,873.1229517536863,114935286.0,887,38182,43947774,92.96,41657876,89.11,1303658,453664,0.97,[17921420.0],29.44138330217819,9.567134020437004,34.403823194905065,9.420524022561535,49018029,99.30,43153300,92.31,2503940,197223,0.42,[18473626.0],34380856,99.85,33114809,97.49,372621,87814,0.26,39.78806206840661,37.1290193113629,998667,120118,0.0010450924531566399,1001832,43962625,92.99,[17926220.0],29.449796187593748,9.580717948970806,34.41020455705253,9.442349572455521,25812,21036,552,253004,467
Mus-musculoides,227172,731.3985526385294,166153272.0,864,57903,67027181,95.96,61654928,89.20,3771940,635757,0.92,[26457625.0],32.69002966811219,11.00819224658278,38.016553586015036,10.76083417228557,72373064,99.74,64416736,93.19,3296284,110262,0.16,[27111681.0],52233062,99.95,50509165,97.67,540754,45285,0.09,58.273832199027524,58.01302633477377,5566422,134269,0.0008081032554086567,5571362,67038703,95.97,[26459083.0],32.697426222002086,11.021499680877168,38.024403059813025,10.771543272397722,48705,38276,925,453367,630
Pelomys-minor,134898,1037.2939850850273,139928884.0,1016,40057,43758540,94.51,41269484,90.10,1268730,698827,1.53,[17592313.0],25.754762700086726,7.628282697087322,30.294271386217403,7.523795296047598,47061692,98.27,40876036,89.24,2964158,521433,1.14,[17456683.0],32800859,99.56,31320015,96.11,517220,252093,0.77,39.760672838589784,36.78910852546544,1043597,92377,0.0006601710623233442,1045015,43766101,94.52,[17594573.0],25.75948935485931,7.637106068133703,30.29726351210961,7.537333941830249,31486,25907,671,301557,475
Tarsomys-apoensis,124302,965.1166031117762,119965924.0,942,37726,34657925,92.56,32916036,88.70,873046,492883,1.33,[14259120.0],22.974708103629375,6.910246086595616,26.997552336671514,6.812078690465926,37841077,97.76,33046462,89.06,2081252,516851,1.39,[14386232.0],26836871,99.36,25288651,95.04,416597,302097,1.14,33.16470288233624,29.18219346396442,869104,112039,0.000933923536486911,871314,34667778,92.58,[14262296.0],22.980075950907068,6.91888365684326,27.00215565811926,6.820123869407971,25676,21177,467,277922,402
Batomys-russatus,121537,970.6338069888183,117967921.0,941,37189,30936503,92.76,29361014,88.86,804354,439066,1.33,[13816781.0],19.735190439577195,5.5491868936906705,23.255464775553317,5.719040445314463,33336145,97.37,29593840,89.56,1699562,535864,1.62,[13863827.0],23513353,99.32,22685157,96.33,260275,291551,1.24,27.324142958877044,23.913871751540484,880711,84278,0.0007144145568183744,882149,30942938,92.78,[13819091.0],19.740907298737014,5.556168437506908,23.26107407035018,5.724222530211708,30438,24121,570,388249,611
Halmaheramys-bokimekot,124869,968.1294156275777,120889352.0,945,38115,33653301,92.51,32216438,89.23,664120,455942,1.26,[14502413.0],21.48235788885653,6.07854030625341,25.353111871298957,5.888352127268452,36734911,97.95,32591552,90.27,1799634,467161,1.29,[14704662.0],26367442,99.40,25135733,95.80,347328,272749,1.04,31.2996852923148,27.782451748910947,985256,105653,0.0008739644828272386,987613,33663357,92.53,[14505431.0],21.48814448040048,6.093970209179493,25.356147295581376,5.906076848664228,24295,19982,405,292413,412
Chiruromys-vates,126019,974.1887572508907,122766293.0,952,37129,43583657,93.90,41917162,91.05,812356,446172,0.97,[18480246.0],28.07482878397643,7.834750011108358,33.12223809337981,7.887045367411726,47463335,99.04,42711840,92.78,2118756,275486,0.60,[18841555.0],35102104,99.77,34039636,97.62,341452,139492,0.40,40.67855905668518,37.91083608203285,651543,134383,0.0010946245644152504,654349,43594626,93.92,[18483437.0],28.081403790912738,7.846095941795563,33.127084384183036,7.902369880179066,24319,20923,440,264234,524
Chrotomys-whiteheadi,119847,935.568541557152,112125083.0,910,36579,32468415,92.22,31053252,88.99,638872,418148,1.20,[13183138.0],23.084159186951176,6.4934239395674185,27.218915165415805,6.546598190003192,35863865,98.73,32110154,92.02,1670684,283521,0.81,[13540772.0],26261518,99.67,25409558,97.22,277560,152094,0.58,31.7156877537256,28.83005351996252,759995,106323,0.0009482534786618619,761987,32477857,92.24,[13185718.0],23.08975193902388,6.510835773147045,27.22177323270158,6.562433746403313,36787,29909,669,430154,537
Abeomelomys-sevia,145040,834.7139892443464,121066917.0,878,40585,50266253,93.18,47427374,88.94,1765854,424747,0.80,[20094636.0],32.33504751938614,11.02295492672848,37.626300198946645,11.030635379306405,54820702,98.42,48934270,91.76,2512058,312519,0.59,[20423455.0],37619684,99.77,36241036,97.30,369820,139077,0.37,43.723544722838525,40.794452225075645,1189920,88576,0.0007316284431361211,1201552,50278674,93.20,[20099362.0],32.34124496046561,11.044408482555294,37.62895593468339,11.05209958582882,32513,26799,639,443686,689
Berylmys-mackenzii,105969,874.188800498259,92636913.0,842,33495,31952487,90.45,30115856,86.41,933656,419757,1.20,[12953040.0],26.684264580907296,8.711232692564451,31.188489094375466,8.586767795164171,36237176,98.56,31356756,89.97,2174638,331151,0.95,[13429722.0],25116770,99.57,23848851,96.02,401952,185597,0.75,31.280830258897264,27.27618841898071,525846,95299,0.0010287367844392656,530127,31964604,90.48,[12956084.0],26.693080034704046,8.739336370255616,31.193830901404365,8.60484499335712,35945,28520,614,408560,736
Solomys-salebrosus,155446,780.8931847715605,121386722.0,836,43045,38734833,92.66,36039604,87.10,1706506,559665,1.35,[15261024.0],26.167541145849004,8.358809804341723,30.513994631180278,8.742190929826748,43173242,98.86,37109090,89.68,2696642,324342,0.78,[15697009.0],30509775,99.65,28717095,95.67,486583,173314,0.58,37.432017590292176,34.30652920142909,2223978,105871,0.0008721794134946654,2226625,38746267,92.69,[15265653.0],26.174170624521434,8.369241533146448,30.519193277021547,8.758168177199051,28394,22198,533,333735,549
Zelotomys-woosnami,167614,780.3168768718604,130792033.0,851,44789,42670814,93.92,39547826,87.93,2143640,510157,1.13,[18471934.0],25.35588357199459,8.9978140573399,29.436964724853997,8.617572178206103,47095014,99.01,40429514,89.89,2906910,260415,0.58,[18763174.0],33391453,99.77,31321692,95.71,532441,128248,0.39,37.55812392036132,35.557834501421404,2799156,158135,0.001209056823820454,2801640,42682781,93.94,[18475944.0],25.36649785863968,9.012380498509035,29.44709451717224,8.632366441017895,31735,24734,588,306132,495
Kadarsanomys-sodyi,123042,861.465076965589,105996386.0,853,38197,34193568,91.27,32374066,87.45,901014,455434,1.23,[14757696.0],24.071041985618365,7.02172804103486,28.233790542734244,7.684260698074296,37987444,97.99,33248490,89.81,2151074,403674,1.09,[15084112.0],27119733,99.51,25824486,95.99,429594,232934,0.87,32.65022913632488,28.234558114508484,970646,68591,0.0006471069683451283,977242,34202856,91.29,[14760605.0],24.07764757444937,7.0371384115912035,28.23830221670275,7.699135509665955,19658,15371,300,187107,286
Mallomys-rothschildi,129900,851.2519322555812,110577626.0,874,37096,36615923,92.11,34604282,87.96,1162978,426187,1.08,[15439916.0],25.444776299870636,8.64411288011469,29.658249047017375,8.31693960035816,41120716,99.18,36202904,92.03,2127612,187236,0.48,[16086844.0],29350617,99.83,28228050,97.35,331880,87325,0.30,33.78448262064384,31.327825043801578,1115915,115790,0.0010471376913083665,1118316,36628354,92.13,[15444710.0],25.450984738233903,8.656921023164605,29.663762476412565,8.324395719135278,27226,21500,576,282289,416
Taeromys-taerae,118983,959.5663246009934,114172080.0,946,36068,35201457,92.22,33666180,88.95,765268,434753,1.15,[14070890.0],23.86625842634797,6.965468136620894,28.074675813246152,7.062329725502568,38713837,98.12,34407788,90.91,1763596,433003,1.14,[14469174.0],27648427,99.44,26294819,95.91,342363,258993,0.94,33.24616317293354,29.62691635180359,761776,88060,0.0007712918955317272,765024,35210893,92.24,[14073149.0],23.872694078405253,6.980140086905194,28.079242365386673,7.075098783536167,22735,18485,374,241461,360
Vandeleuria-oleracea,153009,746.0672836238391,114155009.0,811,42524,35079401,91.69,33399998,87.95,1057718,335484,0.88,[14483213.0],24.38318907945376,7.079680418743246,28.626394448826666,7.153968913305522,38947393,98.85,35369924,93.13,1509558,262476,0.69,[15074407.0],29090683,99.72,28121667,97.42,272886,142890,0.50,35.04701804007278,31.657721028747535,2218834,109781,0.0009616835998847847,2220515,35092036,91.72,[14488966.0],24.389748949604375,7.090373182474884,28.63234274223593,7.1625594884176245,31020,23892,571,338758,498
Conilurus-albipes-NMV-c7585,139546,718.4471787080962,100256430.0,760,39235,137568730,87.46,133871322,85.42,1482410,1171000,0.75,[48215078.0],75.10857120990177,34.13679752194814,85.30040269661689,34.286339311628055,154509061,97.29,147059722,93.84,3213640,1205893,0.77,[50496716.0],99324673,99.48,97378463,97.79,341645,725671,0.73,92.3721004078225,84.4441581091221,851330,73757,0.0007356834868347098,922360,137601639,87.48,[48223773.0],75.12132152602294,34.17172668024998,85.3081490279071,34.3202498328441,70460,42646,429,591378,800
Conilurus-penicillatus-M14056,121433,870.298534994606,105682962.0,887,35546,23518334,86.22,21644258,79.62,667706,1020827,3.76,[4181936.0],17.500310489157243,7.471756418697012,20.036677926727478,7.225662077281153,25428759,92.29,22054656,81.13,1517140,1071493,3.94,[4032252.0],16307756,97.52,15198136,91.23,192085,590238,3.54,20.673550892084116,18.49247289467792,1299854,19637,0.0001858104620496916,1303971,23521316,86.23,[4182377.0],17.502723621433958,7.473229523779315,20.038359986606082,7.23396907621805,25555,20031,156,332906,297
Leggadina-forresti-WAMM62323,138367,787.6046094805843,108978487.0,817,39317,36267570,88.55,33374706,81.78,1517020,1062350,2.60,[8562944.0],24.531061446397718,9.669673909495428,28.24439720103662,9.586140023269705,38502123,93.14,33815580,82.86,2161418,1410634,3.46,[8582701.0],26189728,97.86,24623013,92.32,273203,822283,3.08,31.665747812764884,27.56338337275342,1712711,19680,0.0001805861004475131,1717634,36271953,88.56,[8563776.0],24.533451994506475,9.681605674329713,28.244964109293612,9.59467480811369,36186,25225,236,386664,351
Leggadina-lakedownensis-WAMM21623,169828,738.0679511034693,125344604.0,822,45188,49967592,89.08,45356938,81.17,2800246,1441934,2.58,[14963011.0],26.802758743881657,11.059175742022106,30.694348277625092,11.120247757043485,52653682,92.90,45798462,81.97,3246134,1935704,3.46,[14794158.0],34778287,97.87,32571430,92.06,386924,1080278,3.05,36.76997535709377,32.40746117921256,2682995,26783,0.00021367493410406402,2690951,49975323,89.09,[14965531.0],26.80575819461365,11.065468369759028,30.695215712068325,11.139273945320879,45945,31553,387,491951,502
Leporillus-apicalis-C90,89773,683.8674545798848,61392833.0,685,27807,143138257,78.16,139825800,76.76,1085912,505569,0.28,[62633158.0],99.73731202433139,63.21065871538944,108.86860812232626,63.102777011011625,182326786,98.54,175802860,96.51,2260048,486285,0.27,[71140564.0],111540476,99.79,110030141,98.71,218785,325274,0.29,86.47533466857368,76.84592593402022,795270,145243,0.002365797323606161,879384,143260080,78.23,[62673352.0],99.7830873090037,63.270726617277795,108.91090000640483,63.16438188189161,65696,38698,473,495574,1135
Leporillus-conditor-ABTC13335,98217,755.1503303908692,74168600.0,775,29810,13880103,80.96,12445488,72.80,566388,771077,4.51,[4432537.0],12.043967948843735,5.842668003730975,13.584061140378841,5.9042073153296295,16019675,92.47,13912908,81.38,926868,686756,4.02,[4467424.0],10464056,97.39,9726702,90.86,135325,395470,3.69,11.26685124974719,9.656230889324766,1273009,20356,0.0002744557669957367,1273762,13882414,80.97,[4433249.0],12.045763323355578,5.848960319943411,13.584696356641262,5.9105989457022,19097,15214,125,257882,181
Mastacomys-fuscus-M13957,192011,658.5516663107843,126449164.0,761,49601,48671703,88.81,44324024,81.17,2696184,1281368,2.35,[9041791.0],30.025758009598896,11.361306931688723,34.66182495502452,11.159627560343527,51804194,93.41,45298634,82.96,3000556,1603662,2.94,[8961214.0],34001177,98.26,31836507,92.60,312545,859877,2.50,42.2568423994466,38.556715153823696,2929860,35079,0.0002774158317092551,2939397,48680741,88.83,[9044401.0],30.02998458195864,11.373650474830272,34.66410617485311,11.17007256070901,35880,25920,282,448019,447
Mastacomys-fuscus-NMV-C37546,127113,814.6497761833958,103552577.0,845,36985,24876549,86.05,22455902,77.94,1229810,1030476,3.58,[4972226.0],18.349530988258515,7.82724658063117,20.971470528710423,7.851900405040954,26704316,91.31,22831350,79.24,1731148,1115675,3.87,[4812584.0],16826896,97.53,15481204,90.31,205600,601296,3.51,20.773178147722863,18.48075419160235,1399466,21706,0.00020961332521932314,1404534,24880337,86.06,[4973110.0],18.351740643247922,7.841810195966875,20.971258486227736,7.860877445921721,30820,23779,240,408786,372
