# Rodent assembly and mapping stats
# PYTHON VERSION: 3.6.10
# Script call:    get_spades_stats.py -p 64
# Runtime:        10/03/2020 12:20:52
# ----------------
# Total species:              210
# Total target length:        54359343.0
# Mapping directory:          ../../01-Assembly-data/06-Map/
# Assembly directory:         ../../01-Assembly-data/05-Scaffolds/
# Output file:                spades-stats.csv
# ----------
species,num-scaffs,avg-scaff-len,asm-len,asm-n50,asm-l50,asm-reads-mapped,asm-perc-reads-mapped,asm-paired-mapped,asm-perc-paired-mapped,asm-pair-mapped-diff-chr,asm-single-mapped,asm-perc-single-mapped,asm-duplicate-reads,asm-avg-depth,asm-avg-start-depth,asm-avg-mid-depth,asm-avg-end-depth,mouse-reads-mapped,mouse-perc-reads-mapped,mouse-paired-mapped,mouse-perc-paired-mapped,mouse-pair-mapped-diff-chr,mouse-single-mapped,mouse-perc-single-mapped,mouse-duplicate-reads,mouse-target-reads-mapped,mouse-target-perc-reads-mapped,mouse-target-paired-mapped,mouse-target-perc-paired-mapped,mouse-target-pair-mapped-diff-chr,mouse-target-single-mapped,mouse-target-perc-single-mapped,mouse-avg-depth,mouse-target-avg-depth,referee-unmapped-pos,referee-errors-corrected,referee-error-rate,referee-low-scores,referee-reads-mapped,referee-perc-reads-mapped,referee-duplicate-reads,referee-avg-depth,referee-avg-start-depth,referee-avg-mid-depth,referee-avg-end-depth,ins-removed,dels-removed,complex-removed,total-snps,filtered-snps
Waiomys-mamasae,153264,590.1006302849985,90441183.0,585,48255,50970053,86.44,45008394,83.04,834938,815249,1.50,[12695286.0],31.358642343839016,8.358386446733093,37.0747927580266,8.587654044829584,51636225,87.41,43813824,80.84,1014402,2406008,4.44,[12766435.0],38978120,96.72,33502563,89.55,227190,1751717,4.68,37.541883165317614,31.96303143325334,1010931,13920,0.00015391218401024232,1014811,50973736,86.45,[12695989.0],31.360957801640602,8.364425216211558,37.076319426741556,8.591196287766582,20632,16119,100,257762,185
Chiropodomys-gliroides,135281,660.1719236256384,89308718.0,667,42107,28848012,85.18,24432532,79.59,787038,948344,3.09,[6410032.0],18.557323191426285,6.811312597652841,21.484163176989654,6.865852426666892,28908005,85.23,23919174,77.92,638684,1684918,5.49,[6234597.0],20679574,95.72,17265059,86.95,175852,1220706,6.15,20.29786034225067,17.578799397925028,789361,12502,0.00013998633369700816,790140,28849484,85.19,[6410342.0],18.55857987623491,6.8142476255463755,21.485013512022213,6.8669329639897825,31719,26282,174,487875,202
Lorentzimys-nouhuysi,147104,706.8340765716772,103978120.0,731,42990,46750283,88.02,40631192,83.96,1034490,908402,1.88,[11321500.0],25.357210278622944,8.13329067455799,29.645795809115718,8.19651070483257,46136429,86.74,39060172,80.71,784588,2490320,5.15,[11144140.0],33874859,96.10,28926758,88.86,222724,1841088,5.66,31.4467715497111,27.58885187409274,953250,10800,0.00010386800607666305,953621,46751716,88.02,[11321693.0],25.35837262808269,8.135791830321615,29.646556299975686,8.197678608421018,26870,20355,149,329477,156
Mastacomys-fuscus,141255,684.9636402251248,96754539.0,696,42839,39040600,86.74,33403884,81.60,1058664,1047463,2.56,[9246534.0],22.781454814849496,7.815318716376829,26.518523493908305,7.815384582188707,38899297,86.29,32285214,78.87,822768,2167650,5.30,[9093297.0],28088320,95.92,23490537,87.02,222395,1583761,5.87,26.402217170351122,23.1824547805885,812408,12302,0.00012714648973729284,814772,39042407,86.75,[9246674.0],22.782944617783542,7.815768587775523,26.519376792899276,7.821292517803671,35831,31349,147,577298,219
Melomys-rufescens,143856,639.0895895895895,91936872.0,648,43837,37595027,85.68,32299868,80.77,973656,956133,2.39,[9296932.0],22.76628765120971,7.82499267400112,26.49384482630058,7.849014051440991,38235314,86.98,31997964,80.01,782300,1930642,4.83,[9251191.0],27833772,96.39,23554886,88.45,199665,1374981,5.16,25.9895733487146,22.784420076600263,846457,12714,0.00013829054353730894,848086,37597591,85.68,[9297364.0],22.76824334467092,7.829561398914606,26.495125510616774,7.852572468741994,32644,26923,188,496065,269
Hydromys-chrysogaster,124853,522.8672518882205,65281545.0,515,40516,48007480,76.55,41173166,71.45,1160272,1475008,2.56,[35313851.0],14.0633324388433,6.86130497123784,15.850756159539024,6.94274300385515,56244512,89.50,47902298,83.12,1107308,2150208,3.73,[38655786.0],42455489,97.41,36687711,90.79,265834,1498595,3.71,13.665215805811965,11.46977438634606,947425,13626,0.00020872667765445808,948980,48012147,76.56,[35315532.0],14.066027396067625,6.868172871364173,15.852871090465023,6.945575532972976,21714,15834,103,253545,193
Apodemus-sylvaticus,138672,675.6079237337026,93687902.0,700,42116,30332219,86.24,25435904,79.83,1163834,892662,2.80,[6512755.0],18.865553758568996,7.006384352619122,21.81472953724035,7.087583804467462,29806620,84.65,24719902,77.58,638500,1887616,5.92,[6341967.0],20995640,95.39,17604821,86.92,172227,1345392,6.64,20.791082984759363,17.858352059185115,889543,10863,0.00011594880201287889,890214,30333410,86.25,[6513093.0],18.866496646859066,7.008617607915167,21.815380229960216,7.08812436169352,21933,17623,101,298393,147
Archboldomys-luzonensis,135243,699.8617821255074,94651407.0,717,40873,32152368,87.71,27673304,83.16,722522,790747,2.38,[7913858.0],19.041013205723207,6.398669423208971,22.17120642392248,6.617638352274129,32002893,87.17,26935512,80.94,596142,1701592,5.11,[7714343.0],22963418,96.09,19484402,88.56,162665,1243593,5.65,21.61743179966355,18.768892552656496,792059,8962,9.468427658978171e-05,792438,32153043,87.71,[7914022.0],19.041590804446766,6.398999207629683,22.171624007460792,6.618693536550993,12697,10144,46,163198,99
Bunomys-chrysocomus,151911,632.8731559926536,96140394.0,662,45494,37962184,85.81,32243276,80.05,1395674,902505,2.24,[9761558.0],21.757988278255876,7.2692228232565395,25.355100041994397,7.41177179499593,36985746,83.49,30456036,75.61,757320,2511052,6.23,[9448169.0],27126136,95.06,22566976,85.64,189192,1854748,7.04,25.826389684402287,21.793977991970948,942706,10435,0.0001085391848924605,943278,37963871,85.81,[9762181.0],21.759071946453247,7.27761854489425,25.35466945500759,7.416534560503381,18226,13854,99,247367,110
Haeromys-minahassae,134874,666.4489449412043,89886635.0,680,42437,27940137,86.01,23043292,78.49,1145584,1060624,3.61,[6322881.0],17.788773161217637,7.230489856746703,20.429748195332305,7.188414342135969,28040166,86.16,22751148,77.50,778136,1648869,5.62,[6105766.0],19464110,95.53,15914970,85.18,223618,1182227,6.33,19.010978992586807,16.497379447724377,913426,10832,0.00012050734795000391,914450,27940709,86.01,[6322932.0],17.789460005037355,7.232366261204814,20.430125733140564,7.188895723211909,21897,17439,133,299791,163
