Species,batch,count,avg len,N50,L50
Rattus argentiventer,G2.4,125129,929.0108928,888,39217
Uromys sp nov,G2.4,125337,966.0629503,945,36756
Otomys tropicalis,G2.4,162304,845.3422405,931,43649
Niviventer cremoriventer,G2.4,204417,711.2940069,817,55430
Otomys denti,G2.4,201151,728.1787911,864,52025
Praomys jacksoni,G2.4,169202,782.3783111,867,45598
Margaretamys christinae,G2.4,129489,949.0408761,928,38306
Dasymys incomtus,G2.4,174859,735.4762695,832,46548
Taeromys callitrichus,G2.4,126845,1031.908518,1037,37505
Hybomys lunaris,G2.4,162417,784.6333204,847,44572
Sundamys annandalei,G2.4,130125,958.6484688,937,39288
Nesokia indica,G2.4,147626,740.296208,797,42225
Macruromys major,G2.4,131637,873.1229518,887,38182
Mus musculoides,G2.4,227172,731.3985526,864,57903
Pelomys minor,G2.4,134898,1037.293985,1016,40057
Tarsomys apoensis,G2.4,124302,965.1166031,942,37726
Batomys russatus,G2.4,121537,970.633807,941,37189
Halmaheramys bokimekot,G2.4,124869,968.1294156,945,38115
Chiruromys vates,G2.4,126019,974.1887573,952,37129
Chrotomys whiteheadi,G2.4,119847,935.5685416,910,36579
Abeomelomys sevia,G2.4,109902,789.6964022,834,31698
Berylmys mackenzii,G2.4,105969,874.1888005,842,33495
Solomys salebrosus,G2.4,155446,780.8931848,836,43045
Zelotomys woosnami,G2.4,167614,780.3168769,851,44789
Kadarsanomys sodyi,G2.4,91923,836.3642179,812,29973
Mallomys rothschildi,G2.4,129900,851.2519323,874,37096
Taeromys taerae,G2.4,118983,959.5663246,946,36068
Vandeleuria oleracea,G2.4,153009,746.0672836,811,42524
