"tp"	"num.genes.c"	"num_genes_d1"	"num_genes_d2"	"num.genes.m"	"c.avg.block.size"	"c.avg.block.count"	"c.num.blocks"	"d1.avg.block.size"	"d1.avg.block.count"	"d1.num.blocks"	"d2.avg.block.size"	"d2.avg.block.count"	"d2.num.blocks"	"m.avg.block.size"	"m.avg.block.count"	"m.num.blocks"
"<165>"	6702	588	523	3569	533128.1174915	1.5319229316207	2647	215734.302325581	0.0483005366726297	559	198042.708333333	0.0416666666666667	504	319687.732652192	0.519369944657301	2349
"<166>"	9489	17	18	1858	1235874.67443325	4.9735516372796	1588	85925	0	17	148638.333333333	0	18	268457.335700452	0.201420271142673	1549
"<167>"	7821	46	51	3464	675413.59483118	2.26010837849104	2399	281002.608695652	0	46	227382.823529412	0	51	312322.50338696	0.466553767993226	2362
"<168>"	4584	857	799	5142	357601.659201194	0.711459499813363	2679	241447.556257901	0.0847029077117573	791	212448.85560054	0.0742240215924427	741	393462.942230347	0.880438756855576	2735
"<169>"	4895	868	899	4720	370772.507068452	0.821428571428571	2688	230241.053231939	0.100126742712294	789	229162.608851675	0.076555023923445	836	369857.187728269	0.723155588020453	2738
"<17>"	4139	355	381	6507	330343.328070851	0.592221794378129	2597	231855.120588235	0.0441176470588235	340	203033.951351351	0.0324324324324324	370	497528.379310345	1.36297640653358	2755
"<170>"	3679	389	406	6908	297092.426900585	0.534252297410192	2394	188139.359042553	0.0372340425531915	376	202181.564102564	0.041025641025641	390	581251.005347594	1.64056531703591	2618
"<171>"	3155	1290	1692	5245	296134.605004468	0.40840035746202	2238	203461.643478261	0.124347826086957	1150	251408.539816772	0.192389006342495	1419	404973.729196557	0.881276901004304	2788
"<172>"	3560	1015	673	6134	355555.896567299	0.609304426377597	2214	234077.78	0.192941176470588	850	228760.375838926	0.130872483221477	596	460876.941843453	1.24250182882224	2734
"<173>"	4390	816	988	5188	362844.158270528	0.741769139230464	2521	229731.473611111	0.136111111111111	720	230486.82278481	0.138089758342923	869	401792.117389719	0.889901567626686	2743
"<174>"	5734	971	566	4111	471020.012721665	1.21087124132614	2594	224097.820282413	0.242618741976893	779	234376.095684803	0.0656660412757974	533	340539.753657572	0.625543693159352	2529
